,name
314, Sambar Restaurant
315, Hard Rock Cafe
316, Cafe Toons
317, Punjab Grill Pune
318, Chung Fa
319, Shiv Sagar fast food
320, Shravan Restaurant
321, KOPP
322, George Restaurant
323, Gandharv Vegetarian
324, Kimaya Veg Restaurant
325, Agatya Restaurant
326, The Basil Deck
327, Teddy Boy
328, The Westin
329, Sante Spa Cuisine
330, Coconut Grove
331, The Chinese Wok
332, Tasty Tongues Chaats
333, Adda
334, Rahul Restaurant & Bar
335, Senses
336, Curry On The Roof
337, Apache High Street
338, 121 Kitchen
339, Namah
340, Fountain Inn Garden And Restaurant
341, 11 East Street Cafe
342, Sim's Kitchen
343, Modern Cafe
344, Green Signal
345, Onesta
346, Jyothi
347, Relax Pure Veg
348, Boulevard
349, Sharvaree
350, Sarjaa Restaurant & Bar
351, Picantos Mexican Grill
352, The Great Kabab Factory
353, Aroma's Hyderabad House
354, Jimmy Hu
355, The Beer Cafe
357, Kinki
358, Multi Spice
359, Suonmoi
360, China Gate
361, Swig - Bar & Eatery
362, Asia Kitchen by Mainland China
363, Addah
364, Hotel Pune Gate Restaurant
365, Kadhai
366, The Cliff
367, Burger King
368," Absolute Barbecues - Season's Mall, Pune"
369, Sadanand Restaurant
370, Wood Fire Grill
371, Bar-Code
372, BOTECO
373, The Daily All Day
374, Carrots N Celery
375, Prem's
376, Radha Krishna
377, Pesto Pesto
378, Flavours
379, Baraza Bars & Bites
380, Mosaic
381, Global Punjab
382, Deccan Harvest
383, Sentosa Multi Cuisine Restaurant
384, Oye Pape
385, Chhajja - All Day Dining
386, Sheetal Da Dhaba
387, Blue Nile
388, Khiva
389, Behrouz Biryan
390, Rain Forest
391, Bamboo House
392, Koji
393, Blue Frog
394, Cafe Mestizo
395, Residency Club Courtyard Restaurant
396, Beto's Bar & Kitchen
397, Chingari
398, The Urban Foundry
399, Cafe Colombia
400, Tim Luck Luck
401, Magnum Opus
402, Yana Sizzlers
403, Mezza9
404, Nebula Restaurant
405, Shreyas
406, Up South
407, Chaitanya Paranthas
408, Samudra
409, Bar Bar
410, 212 All Day Cafe & Bar
411, Mineority
412, Hotel Roopali
413, House Of Parathas
414, Iddos
415, BMG - Unplugged
416, Malgudi Tiffins
417, Publiq
418, The Veg Kitchen
419, The Coconut Tree Bar & Kitchen
420, Rajdhani Thali Restaurant
421, FC Grill House
422, Tales & Spirits
423, Kailash Parbat
424, Rama Krishna
425, Cuba Libre
427, Khasbag Misal
428, Hoppipolla
429, Independence Brewing Company
430, TGI Fridays
431, 1000 Oaks
432, Jalebi Junction
433, Kiva Terminus
434, Alto Vino
435, Copa Cabana
436, The Mugshot Lounge
437, Shivsagar Restaurant
438, Reddy's Restaurant
439, Spaghetti Kitchen
440, Subway
441, Salt Kitch n Bar
442, Grandmama's Cafe
443, The Sassy Spoon
444, Bhajan Singh Da Dhaba
445, Hyderabad Dum Biryani
446, Cream Centre - Pune
447," Incognito Restaurant, Bar & Cafe"
448, Hotel Rupali Restaurant
449, Kokkita
450, Fish Curry Rice - Kothrud
451, Naaz Bakery
452, Kalyani Veg
453, Simply Barbeque
454, Exotica Pune
456, E Square Food Court
457, Mystic Masala
458, Nawab's
459, MoMo Cafe - Courtyard Pune Chakan
460, Portico Restaurant Hotel Sayaji Wakad Pune
461, Thai House
462, Bird Valley Restaurant
463, The Cafe
464, Naivedyam Dining Hall
465, The Funky Kona
466, Great Punjab Restaurant
467, Cinnamon Spice
468, Thikana
469, Dorabjee & Sons
470, Terttulia Bistro & Bar
471, Rude Lounge
472, Greens & Olives
473, Up & Above Restaurant
474, Tikona Picnic
475, Shiv Sagar Hotel
476, Flying Duck Co.
477, Way Down South
478, Agent Jack's
479, Shakahari
480, Coffee House
481, Chinese Room
482, Khansaab
483, The Irish Village
484, Farzi Cafe
485, Naivedyam
486, Eighty Eight
487, Carmine
488, Soho
489, Shaolin
490, 7 Seas
491, Hub
492, Gong
493, Raasta Cafe
495, La Pizzeria
496, Oak Lounge
497, Spice Kitchen
498, The High Spirits Cafe
499, Agatya
500," Kargo, Kitchen & Bar"
501, Anna's Idli
502, Darshan
503, Garden court
504, Barometer
505, Cafe Bay Leaf
506, Eternia Rooftop Resto Lounge at Skye
507, Mathura
508, Genuine Broaster Chicken
509, The K Factory
510, Budhani Waferwala
511, Chitale Bandhu Mithaiwale
