,name
337, Raaga The Family Restaurant
338, The Coorg Food Co.
339, Kamat Lokaruchi
340, Hotel Panchvati Gaurav
341, Xtreme Sports Bar & Grill
343, Cafe @ Elanza
344, Nammoora Thindi
345, Vriksh
346, Hakuna Matata
347, Chowmein Family Restaurant
348, Madhurai Idly Shop
349, 6 Ballygunge Place
350, Oye Amritsar
351, Pavithra Restaurant
352, New Shanti Sagar Restaurant
353, The Eatery
354, Three Qurarter Chinese
355, Brew Meister - Craft Beer & Kitchen
356, New Tandoor Restaurant
357, 100 Feet Boutique
358, Punjabi by Nature
359, Byg Brewski Brewing Company
360, Ebony Restaurant
361, Punjabi Nukkad
362, Cafe Le Rock
363, Axomi
364, Savoury Restaurant
366, Khan Saheb
367, By The Blue
368, Arusuvai Arasu Madhuram
369, SLV Ragigudda
370, New Shanthi Sagar
371, Mangalore Pearl
372, Kerala Pavilion
373, Punjabi Rasoi
374, Holiday Village Restaurant
375, Hotel Ajantha Restaurant
376, Adaa
377, Kabab Magic
378, Pure & Natural
379, Thalassery Restaurant
380, Suchithra Biryani House
381, Noble House
382, Troika
383, Imperial Restaurant
385, The Grill & Curry Bowl
386, Sunny's Restaurant
387, Flavours
388, Aranya
389, Vasudev Adigas
390, The Kebab Room - Restaurant & Brewery
391, Riwaz
392, Adyar Ananda Bhavan Sweets and Snacks
393, Wanderers
394," Adyar Anand Bhavan Sweets and Snacks, Vidyaranyapura"
395, Bang
396, The Square Table
397, Ji Hazoor Restaurant
398, Nook
399, TBC Sky Lounge
400, Domino S Pizza
401, The Fort Kochi Connection
402, News Cafe
403, Chinita Real Mexican Food
404, Chungs Chinese Corner
406, Punjabi Tadka
407, Purvi Multicuisine Family Restaurant
408, The Dhaba Marathahalli
409, The Lost Caravan
410, Nakshatra Fine Dine Restaurant
411, Uppercut
412, Ranch at Big Banyan Vineyard & Resort
413, Tangra
414, Tayabbs
415, Vasudev Adiga's
416, The Druid Garden
417, Udupi Deluxe
418, Paradise Food Court
419, The Reservoire
420, Kadamba
421, The Rock
422, Treat
423, Saatvikk
424, The Pump House
425, The Bel St.
427, Udupi Park
428, Thai chy
429, Dreams Cafe
430, Soi & Sake
431, Chung's Pavilion
432, Vitamin Palace
433, Punjab Bistro
434, The Chancery Pavilion
435, Siddique Kabab Centre
436, Karnataka Bhel House
437, Malgudi
438, Saarangi
439, Plus 91
440, Pot-O-Noodles
441, Health Zingo
442, Casa Piccola
443, Saffron Vegetarian Cuisine
444, Meghana Foods
446, A2B - Adyar Ananda Bhavan
448, Naachiyar's
449, Medici
450, Purabhi Chalo Punjab
451, Oval Bar
452, Banjara Melting Pot
453, Barbecued - By The Orchard
454, Mishmash
455, Kaati Zone
456, Cafe 3 Oh'3
457, New Krishna Bhavan
458, Eden Park Restaurant
459, Richies Rahhams
460, Sharief Bhai
461, Yo! China
463, Dublin
464, Savoury Sea Shell
465, Bageecha Multicuisine Family Restaurant
466, Pappu Chaiwalla
467, Cafe Mondo
468," Republic Of Noodles, Lemon Tree, Ulsoor"
469, Konark
470, The Sai Leela Hotel Restaurant
471, Lan Thai
472, Brik Oven
473, Ammis Biriyani
474, Punjabi By Nature Express
475, Moti Mahal & Restaurant
476, Hyderabadi Bawarchi
477, Citrus Cafe
479, Margarita Lounge Bar
480, Zero Mile Punjab Restaurant
481, Hyderabadi Biryani
482, Big Pitcher
483, Tavern at the Inn
484, Filling Station
485, Jayamahal Palace Hotel
486, Mango Trees
487, Vasudev Adiga’s Nalapaka
488, Beijing Bites Restaurant
489, Sancho's
490, Curry Leaves
491, Chung Wah Restaurant
492, Tiffin Room
493, Rang De Basanthi
494, South Ruchi's
495, 7 Plates
496, Maiyas Restaurants Pivate Limited
497, Sarangi Express
498, Wazirs
499, Gullu's Chat
500, Nizam's Biryani House
501, Bangaliana
502, Cafe Noir
503, Fresh Menu
504, Woody's
507, Tomatina
508, The Whiskey Bar
509," Absolute Barbecues - BTM, Bengaluru"
510, Laajawab
511, Sector 7 Cafe
512, Mayuri
513, Monkey Bar
514, Two Friends Cauldron
515, 657 Wall Street
516, Anand
517, Mr. Idli
518, Tandoori Taal
519, Paradise Biriyani Hotel
520, Euki
521, Park Square Mall
522, Sidewalk Cafe
523, Village - The Soul Of India
524, The Square - Food Outside the Box
525, Udupi Garden
526, Villa Pottipati
527, Edo - Japanese Restaurant and Bar
528, Aaha Andhra
529, Rahham's International
530, Bowring Institute
531, Biergarten Brewery & Kitchen
532, Paranda
533, One Night In Bangkok
534, Beyond China
535, Deewar
536, The Fisherman's Wharf - Bangalore City
537, Dal Tadkaa
538, The Bawarchi
539, Rouge Elephant
540, WelcomCafe Jacaranda
541, Gokul Veg
542, Bheema's
543, Dum Pukht Jolly Nabobs
544, Noodleheads
545, Dyu Art Cafe
546, Box8
547, Kaayal
548, 24@43 Coffee Shop
549, Palmgrove
550, Nasi and Mee
551, Mast Kalandar
552, The Black Rabbit
553, Fusion Street Global Cuisine
554, Bhagini
555, Safe House Gastropub
556, Priyadarshini Grand
557, Mavalli Tiffin Room (MTR)
558, Pingara
559, Paratha House
560, Murphy's Brewhouse
561, Mai Tai Lounge
562, Kanua
563, Rajvardhan Foods
564, New Shanti sagar
565, Uphara Kendra
566, Basavanagudi Restaurant
567, Aagaman Veg
568, Skyye Lounge
569, Ruchi Restaurant
570, The London Curry House
571, Beijing Bites - RT Nagar
572, WBG - Whitefield Bar and Grill
573, ASEAN - On The Edge
574, Mast Kalandar Koramangala
575, Zheng
576, Madurai Idly Shop
577, Pecos Pub
578, Mamagoto
579, W Xyz
580, Baisakhi Restaurant
581, Gramin
582, Up South Malleswaram Orion
583, Sultans of Spice
584, Red Onion
585, Tangerine Sizzlers & More
586, New Punjabi Food Corner
587, Mandarin Trail
588, Khansama
